tax_id	old_name	new_name
tax_eu_inner_erwerb_0_vst_new	frei Vorsteuer Innergemeinschaftlicher Erwerb	VSt 0 % igE
tax_eu_inner_erwerb_0_ust_new	frei Umsatzsteuer Innergemeinschaftlicher Erwerb	USt 0 % igE
helper_tax_dritt_vst_purchase_19_goods	Steuerfiktion, um Kontenregel (nach 5551) auszulösen, Betrag frei; Bezug voll	Hilfssteuer Import Waren 19 %
helper_tax_dritt_vst_purchase_7_goods	Steuerfiktion, um Kontenregel (nach 5551) auszulösen, Betrag frei; Bezug erm. 	Hilfssteuer Import Waren 7 %
helper_tax_dritt_vst_purchase_0_goods	Steuerfiktion, um Kontenregel (nach 5551) auszulösen, Betrag frei; Bezug frei 	Hilfssteuer Import Waren 0 %
tax_dritt_vst_purchase_full_goods_customs	Einfuhrumsatzsteuer voller Satz	Steuerfall Einfuhrumsatzsteuer 19 %
tax_dritt_vst_purchase_19_goods_customs	Einfuhrumsatzsteuer voll	EUSt 19 %
tax_dritt_vst_purchase_ermaessigt_goods_customs	Einfuhrumsatzsteuer ermäßigter Satz	Steuerfall Einfuhrumsatzsteuer 7 %
tax_dritt_vst_purchase_7_goods_customs	Einfuhrumsatzsteuer erm.	EUSt 7 %
tax_de_purchase_19_13b	Vorsteuer Standard Andere Leistung §13b Abs. 2 1,2,4 - 12	Steuerfall Inlandsleistung nach 13b 19 %
tax_de_purchase_19_13b_VST	voll Vorsteuer erhaltenen DE-Leistungen §13b Abs.1	VSt 19 % Inland-13b
tax_de_purchase_19_13b_UST	voll Umsatzsteuer  erhaltenen DE -Leistungen §13b Abs.1	USt 19 % Inland-13b
tax_de_purchase_7_13b	Vorsteuer Standard Andere Leistung §13b Abs. 2 1,2,4 - 12	Steuerfall Inlandsleistung nach 13b 7 %
tax_de_purchase_7_13b_VST	erm. Vorsteuer erhaltenen DE-Leistungen §13b Abs.1	VSt 7 % Inland-13b
tax_de_purchase_7_13b_UST	erm. Umsatzsteuer  erhaltenen DE -Leistungen §13b Abs.1	USt 7 % Inland-13b
tax_de_purchase_0_13b	Vorsteuer Standard Andere Leistung §13b Abs. 2 1,2,4 - 12	Steuerfall Inlandsleistung nach 13b 0 %
tax_de_purchase_0_13b_VST	0frei Vorsteuer erhaltenen DE-Leistungen §13b Abs.1	VSt 0 % Inland-13b
tax_de_purchase_0_13b_UST	frei Umsatzsteuer  erhaltenen DE -Leistungen §13b Abs.1	USt 0 % Inland-13b
